"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SP","Clayton Kershaw",12400,"LAD@StL 07:15PM ET",22.220
"SP","Felix Hernandez",11000,"Cle@Sea 10:10PM ET",27.280
"SP","David Price",10400,"Det@LAA 10:05PM ET",19.050
"SP","Madison Bumgarner",9800,"Atl@SF 10:05PM ET",18.935
"SP","Corey Kluber",9800,"Cle@Sea 10:10PM ET",23.809
"SP","Jon Lester",9500,"KC@ChC 07:15PM ET",18.320
"SP","Zack Greinke",9400,"LAD@StL 07:15PM ET",22.875
"SP","Tyson Ross",9400,"Pit@SD 10:10PM ET",17.400
"SP","Garrett Richards",9300,"Det@LAA 10:05PM ET",18.075
"SP","Jake Arrieta",9000,"KC@ChC 07:15PM ET",20.765
"SP","James Shields",8900,"Pit@SD 10:10PM ET",18.888
"SP","Alex Wood",8900,"Atl@SF 10:05PM ET",13.211
"SP","Julio Teheran",8800,"Atl@SF 10:05PM ET",12.175
"SP","Michael Wacha",8700,"LAD@StL 07:15PM ET",18.506
"SP","Carlos Carrasco",8500,"Cle@Sea 10:10PM ET",19.210
"SP","Lance Lynn",8500,"LAD@StL 07:15PM ET",18.670
"SP","CC Sabathia",8300,"NYY@Oak 10:05PM ET",12.005
"SP","Francisco Liriano",8300,"Pit@SD 10:10PM ET",20.605
"SP","Jason Hammel",8300,"KC@ChC 07:15PM ET",20.994
"SP","Gerrit Cole",8300,"Pit@SD 10:10PM ET",21.655
"SP","Sonny Gray",8300,"NYY@Oak 10:05PM ET",22.555
"SP","Anibal Sanchez",8000,"Det@LAA 10:05PM ET",14.555
"SP","Ian Kennedy",8000,"Pit@SD 10:10PM ET",8.894
"SP","A.J. Burnett",7800,"Pit@SD 10:10PM ET",21.130
"SP","Jered Weaver",7800,"Det@LAA 10:05PM ET",12.875
"SP","Andrew Cashner",7800,"Pit@SD 10:10PM ET",16.232
"SP","John Lackey",7700,"LAD@StL 07:15PM ET",16.675
"SP","Danny Salazar",7700,"Cle@Sea 10:10PM ET",23.375
"RP","Yusmeiro Petit",7600,"Atl@SF 10:05PM ET",4.043
"SP","Matt Shoemaker",7600,"Det@LAA 10:05PM ET",13.811
"SP","Matt Cain",7500,"Atl@SF 10:05PM ET",0
"SP","Yordano Ventura",7500,"KC@ChC 07:15PM ET",13.583
"SP","Tim Lincecum",7400,"Atl@SF 10:05PM ET",14.830
"SP","Michael Pineda",7400,"NYY@Oak 10:05PM ET",21.035
"SP","Roenis Elias",7300,"Cle@Sea 10:10PM ET",17.400
"SP","C.J. Wilson",7200,"Det@LAA 10:05PM ET",16.225
"SP","Scott Kazmir",7200,"NYY@Oak 10:05PM ET",17.085
"SP","Trevor Bauer",7100,"Cle@Sea 10:10PM ET",18.332
"SP","Jaime Garcia",7000,"LAD@StL 07:15PM ET",14.225
"SP","Shelby Miller",7000,"Atl@SF 10:05PM ET",21.955
"SP","Taijuan Walker",7000,"Cle@Sea 10:10PM ET",9.695
"SP","Clay Buchholz",6900,"Bos@Tex 07:15PM ET",16.115
"SP","James Paxton",6900,"Cle@Sea 10:10PM ET",13.965
"SP","Kyle Hendricks",6900,"KC@ChC 07:15PM ET",14.122
"SP","Charlie Morton",6800,"Pit@SD 10:10PM ET",16.950
"SP","Andrew Heaney",6800,"Det@LAA 10:05PM ET",0
"SP","Carlos Martinez",6800,"LAD@StL 07:15PM ET",16.160
"SP","Henry Owens",6800,"Bos@Tex 07:15PM ET",0
"SP","Colby Lewis",6700,"Bos@Tex 07:15PM ET",13.270
"SP","Rick Porcello",6700,"Bos@Tex 07:15PM ET",12.930
"SP","Yovani Gallardo",6600,"Bos@Tex 07:15PM ET",13.436
"SP","Tsuyoshi Wada",6600,"KC@ChC 07:15PM ET",19.650
"SP","J.A. Happ",6500,"Cle@Sea 10:10PM ET",14.489
"SP","Jason Vargas",6500,"KC@ChC 07:15PM ET",9.825
"SP","Nathan Eovaldi",6500,"NYY@Oak 10:05PM ET",12.878
"SP","Tim Hudson",6400,"Atl@SF 10:05PM ET",9.725
"SP","Jesse Hahn",6400,"NYY@Oak 10:05PM ET",13.639
"SP","Brett Anderson",6300,"LAD@StL 07:15PM ET",12.300
