"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SP","Wade Miley",6300,"Bos@Tex 07:15PM ET",11.294
"RP","Jesse Chavez",6200,"NYY@Oak 10:05PM ET",13.514
"SP","Shane Greene",6200,"Det@LAA 10:05PM ET",12.435
"SP","Edinson Volquez",6100,"KC@ChC 07:15PM ET",17.035
"SP","Travis Wood",6100,"KC@ChC 07:15PM ET",6.907
"SP","Vance Worley",6100,"Pit@SD 10:10PM ET",7.575
"SP","Mike Bolsinger",6100,"LAD@StL 07:15PM ET",21.180
"SP","Williams Perez",6100,"Atl@SF 10:05PM ET",9.050
"SP","Marco Gonzales",6100,"LAD@StL 07:15PM ET",0
"SP","Hector Santiago",6000,"Det@LAA 10:05PM ET",19.450
"SP","Odrisamer Despaigne",6000,"Pit@SD 10:10PM ET",6.020
"RP","Mike Foltynewicz",5900,"Atl@SF 10:05PM ET",17.958
"SP","Ryan Vogelsong",5800,"Atl@SF 10:05PM ET",11.675
"SP","Jeff Locke",5800,"Pit@SD 10:10PM ET",12.517
"SP","Joe Wieland",5700,"LAD@StL 07:15PM ET",-3.500
"SP","Jeremy Guthrie",5600,"KC@ChC 07:15PM ET",4.483
"OF","Nelson Cruz",5600,"Cle@Sea 10:10PM ET",10.625
"OF","Mike Trout",5500,"Det@LAA 10:05PM ET",9.571
"SP","Edwin Jackson",5400,"KC@ChC 07:15PM ET",2.955
"SP","Wandy Rodriguez",5400,"Bos@Tex 07:15PM ET",14.971
"RP","Matt Barnes",5400,"Bos@Tex 07:15PM ET",4.061
"SP","Eduardo Rodriguez",5400,"Bos@Tex 07:15PM ET",32.250
"SP","Tyler Lyons",5300,"LAD@StL 07:15PM ET",11.150
"1B","Mike Napoli",5200,"Bos@Tex 07:15PM ET",6.909
"OF/SS","Hanley Ramirez",5200,"Bos@Tex 07:15PM ET",8.044
"SP","Trevor Cahill",5200,"Atl@SF 10:05PM ET",0.804
"SP","Joe Kelly",5200,"Bos@Tex 07:15PM ET",9.894
"1B","Prince Fielder",5100,"Bos@Tex 07:15PM ET",9.551
"RP","Ross Ohlendorf",5100,"Bos@Tex 07:15PM ET",2.658
"SP","Nick Martinez",5100,"Bos@Tex 07:15PM ET",14.650
"SP","Kendall Graveman",5100,"NYY@Oak 10:05PM ET",6.400
"SP","Shaun Marcum",5000,"Cle@Sea 10:10PM ET",12.683
"SP","Arnold Leon",5000,"NYY@Oak 10:05PM ET",2.663
"SP","Chris Heston",5000,"Atl@SF 10:05PM ET",15.850
"2B","Dustin Pedroia",4900,"Bos@Tex 07:15PM ET",7.563
"OF","Mookie Betts",4900,"Bos@Tex 07:15PM ET",7.646
"1B","David Ortiz",4800,"Bos@Tex 07:15PM ET",6.302
"OF","Andrew McCutchen",4800,"Pit@SD 10:10PM ET",8.362
"1B","Anthony Rizzo",4800,"KC@ChC 07:15PM ET",10.213
"1B/3B","Miguel Cabrera",4700,"Det@LAA 10:05PM ET",9.531
"OF","Hunter Pence",4700,"Atl@SF 10:05PM ET",9.071
"OF","Justin Upton",4700,"Pit@SD 10:10PM ET",10.061
"1B","Brandon Belt",4700,"Atl@SF 10:05PM ET",7.659
"3B","Matt Carpenter",4700,"LAD@StL 07:15PM ET",9.953
"OF","Yasiel Puig",4700,"LAD@StL 07:15PM ET",7.455
"1B","Adrian Gonzalez",4600,"LAD@StL 07:15PM ET",9.804
"OF","Michael Brantley",4600,"Cle@Sea 10:10PM ET",9.238
"OF","Brett Gardner",4600,"NYY@Oak 10:05PM ET",8.841
"OF","Jacoby Ellsbury",4600,"NYY@Oak 10:05PM ET",9.000
"OF","Jason Heyward",4600,"LAD@StL 07:15PM ET",6.756
"2B","Jason Kipnis",4600,"Cle@Sea 10:10PM ET",9.917
"SP","Kyle Ryan",4600,"Det@LAA 10:05PM ET",5.150
"3B","Kris Bryant",4600,"KC@ChC 07:15PM ET",9.769
"OF","Rusney Castillo",4600,"Bos@Tex 07:15PM ET",3.167
"3B","Adrian Beltre",4500,"Bos@Tex 07:15PM ET",6.857
"1B","Albert Pujols",4500,"Det@LAA 10:05PM ET",7.283
"SP","Chris Young",4500,"KC@ChC 07:15PM ET",12.045
"SP","Adam Warren",4500,"NYY@Oak 10:05PM ET",11.956
"SP","Chi Chi Gonzalez",4500,"Bos@Tex 07:15PM ET",0
"OF","Matt Holliday",4400,"LAD@StL 07:15PM ET",7.818
"1B/C","Buster Posey",4400,"Atl@SF 10:05PM ET",7.702
"OF","Kole Calhoun",4400,"Det@LAA 10:05PM ET",7.065
"3B/SS","Xander Bogaerts",4400,"Bos@Tex 07:15PM ET",5.848
"SP","Tim Cooney",4400,"LAD@StL 07:15PM ET",0.450
"1B","Mark Teixeira",4300,"NYY@Oak 10:05PM ET",8.848
"OF","Shane Victorino",4300,"Bos@Tex 07:15PM ET",4.909
"OF","Alex Rios",4300,"KC@ChC 07:15PM ET",10.286
"OF","Shin-soo Choo",4300,"Bos@Tex 07:15PM ET",7.545
"1B/OF","Brandon Moss",4300,"Cle@Sea 10:10PM ET",7.070
"SS","Jhonny Peralta",4300,"LAD@StL 07:15PM ET",8.125
"OF","Matt Kemp",4300,"Pit@SD 10:10PM ET",6.600
"3B","Pablo Sandoval",4300,"Bos@Tex 07:15PM ET",6.091
"1B/C","Carlos Santana",4300,"Cle@Sea 10:10PM ET",8.070
"OF","Josh Reddick",4300,"NYY@Oak 10:05PM ET",8.500
"1B","Eric Hosmer",4300,"KC@ChC 07:15PM ET",9.043
"2B","Kolten Wong",4300,"LAD@StL 07:15PM ET",8.125
"OF","Wil Myers",4300,"Pit@SD 10:10PM ET",9.152
"OF","Starling Marte",4300,"Pit@SD 10:10PM ET",8.957
"SP","Carlos Frias",4200,"LAD@StL 07:15PM ET",7.557
"OF","Leonys Martin",4200,"Bos@Tex 07:15PM ET",5.732
"1B","Matt Adams",4200,"LAD@StL 07:15PM ET",5.395
"OF","Yoenis Cespedes",4200,"Det@LAA 10:05PM ET",7.380
"3B","Alex Rodriguez",4100,"NYY@Oak 10:05PM ET",8.522
"OF","Coco Crisp",4100,"NYY@Oak 10:05PM ET",2.692
"2B","Robinson Cano",4100,"Cle@Sea 10:10PM ET",5.596
"OF","Dexter Fowler",4100,"KC@ChC 07:15PM ET",8.457
"OF","Lorenzo Cain",4100,"KC@ChC 07:15PM ET",8.744
"OF","Austin Jackson",4100,"Cle@Sea 10:10PM ET",5.724
"OF","Alex Gordon",4100,"KC@ChC 07:15PM ET",7.326
"OF","Nori Aoki",4100,"Atl@SF 10:05PM ET",8.021
"1B","Freddie Freeman",4100,"Atl@SF 10:05PM ET",7.917
"3B","Kyle Seager",4100,"Cle@Sea 10:10PM ET",7.292
"OF","Jorge Soler",4100,"KC@ChC 07:15PM ET",6.702
"SP","Bruce Chen",4000,"Cle@Sea 10:10PM ET",-3.275
"OF","Carlos Beltran",4000,"NYY@Oak 10:05PM ET",5.780
"RP","Jason Grilli",4000,"Atl@SF 10:05PM ET",3.115
"RP","Randy Choate",4000,"LAD@StL 07:15PM ET",1.052
"RP","Joe Beimel",4000,"Cle@Sea 10:10PM ET",2.375
"RP","Joaquin Benoit",4000,"Pit@SD 10:10PM ET",3.693
"RP","Jeremy Affeldt",4000,"Atl@SF 10:05PM ET",0.373
"RP","Fernando Rodney",4000,"Cle@Sea 10:10PM ET",1.788
"RP","Ryan Madson",4000,"KC@ChC 07:15PM ET",3.675
"RP","Javier Lopez",4000,"Atl@SF 10:05PM ET",1.665
"SP","Chris Capuano",4000,"NYY@Oak 10:05PM ET",7.100
"RP","Jason Frasor",4000,"KC@ChC 07:15PM ET",2.550
"OF","Angel Pagan",4000,"Atl@SF 10:05PM ET",6.042
"RP","Santiago Casilla",4000,"Atl@SF 10:05PM ET",3.423
"RP","Nick Masset",4000,"Atl@SF 10:05PM ET",1.888
"RP","Jim Johnson",4000,"Atl@SF 10:05PM ET",2.771
"RP","Craig Breslow",4000,"Bos@Tex 07:15PM ET",2.565
"SP","Joe Blanton",4000,"KC@ChC 07:15PM ET",4.583
"C","Brian McCann",4000,"NYY@Oak 10:05PM ET",8.100
"RP","Jean Machi",4000,"Atl@SF 10:05PM ET",1.768
"RP","Carlos Villanueva",4000,"LAD@StL 07:15PM ET",7.236
"RP","Joakim Soria",4000,"Det@LAA 10:05PM ET",3.382
"RP","Dale Thayer",4000,"Pit@SD 10:10PM ET",2.362
"RP","Tom Wilhelmsen",4000,"Cle@Sea 10:10PM ET",5.525
"RP","Matt Belisle",4000,"LAD@StL 07:15PM ET",2.803
"RP","Jason Motte",4000,"KC@ChC 07:15PM ET",1.765
"RP","Tom Gorzelanny",4000,"Det@LAA 10:05PM ET",1.833
"RP","Tyler Clippard",4000,"NYY@Oak 10:05PM ET",2.690
"RP","Pedro Strop",4000,"KC@ChC 07:15PM ET",2.764
"RP","Alexi Ogando",4000,"Bos@Tex 07:15PM ET",2.534
"RP","Fernando Rodriguez",4000,"NYY@Oak 10:05PM ET",2.605
"2B/OF","Ben Zobrist",4000,"NYY@Oak 10:05PM ET",7.000
"RP","Ryan Webb",4000,"Cle@Sea 10:10PM ET",4.245
"RP","Mark Lowe",4000,"Cle@Sea 10:10PM ET",3.070
"RP","Wade Davis",4000,"KC@ChC 07:15PM ET",4.355
"SP","Franklin Morales",4000,"KC@ChC 07:15PM ET",3.053
"RP","J.P. Howell",4000,"LAD@StL 07:15PM ET",2.165
"RP","Huston Street",4000,"Det@LAA 10:05PM ET",3.910
"1B","Kendrys Morales",4000,"KC@ChC 07:15PM ET",8.766
"RP","Cesar Ramos",4000,"Det@LAA 10:05PM ET",1.945
"RP","Sergio Romo",4000,"Atl@SF 10:05PM ET",2.650
"3B","Chase Headley",4000,"NYY@Oak 10:05PM ET",6.292
"RP","Donnie Veal",4000,"Atl@SF 10:05PM ET",-0.100
"RP","Kenley Jansen",4000,"LAD@StL 07:15PM ET",5.850
"RP","James Russell",4000,"KC@ChC 07:15PM ET",1.817
"RP","Luke Hochevar",4000,"KC@ChC 07:15PM ET",1.236
"RP","Andrew Miller",4000,"NYY@Oak 10:05PM ET",4.876
"RP","Joba Chamberlain",4000,"Det@LAA 10:05PM ET",1.861
"SP","Steven Wright",4000,"Bos@Tex 07:15PM ET",11.050
"RP","Joe Smith",4000,"Det@LAA 10:05PM ET",2.809
"SP","Zach McAllister",4000,"Cle@Sea 10:10PM ET",4.639
"RP","Jared Hughes",4000,"Pit@SD 10:10PM ET",2.202
"RP","Chris Hatcher",4000,"LAD@StL 07:15PM ET",1.511
"RP","George Kontos",4000,"Atl@SF 10:05PM ET",2.996
"RP","Dellin Betances",4000,"NYY@Oak 10:05PM ET",6.283
"RP","Mark Melancon",4000,"Pit@SD 10:10PM ET",1.905
"RP","Vinnie Pestano",4000,"Det@LAA 10:05PM ET",1.847
"RP","David Carpenter",4000,"NYY@Oak 10:05PM ET",1.315
"RP","Tony Watson",4000,"Pit@SD 10:10PM ET",3.710
"RP","Jon Edwards",4000,"Bos@Tex 07:15PM ET",2.700
"RP","Hector Rondon",4000,"KC@ChC 07:15PM ET",3.193
"RP","Antonio Bastardo",4000,"Pit@SD 10:10PM ET",1.562
"RP","Al Alburquerque",4000,"Det@LAA 10:05PM ET",2.135
"RP","Esmil Rogers",4000,"NYY@Oak 10:05PM ET",4.800
"RP","Fernando Salas",4000,"Det@LAA 10:05PM ET",2.431
"3B","Mike Moustakas",4000,"KC@ChC 07:15PM ET",7.977
"RP","Dan Otero",4000,"NYY@Oak 10:05PM ET",2.100
"RP","Nick Hagadone",4000,"Cle@Sea 10:10PM ET",2.031
"RP","Shawn Kelley",4000,"Pit@SD 10:10PM ET",2.388
"RP","Marc Rzepczynski",4000,"Cle@Sea 10:10PM ET",1.679
"RP","Greg Holland",4000,"KC@ChC 07:15PM ET",3.064
"RP","Sean Doolittle",4000,"NYY@Oak 10:05PM ET",5.650
"1B","Mitch Moreland",4000,"Bos@Tex 07:15PM ET",6.912
"RP","Charlie Furbush",4000,"Cle@Sea 10:10PM ET",1.513
"RP","Justin Grimm",4000,"KC@ChC 07:15PM ET",4.125
"RP","Hunter Strickland",4000,"Atl@SF 10:05PM ET",7.413
"RP","Mitch Harris",4000,"LAD@StL 07:15PM ET",1.608
"RP","Sam Freeman",4000,"Bos@Tex 07:15PM ET",0.200
"RP","Tommy Layne",4000,"Bos@Tex 07:15PM ET",2.050
"RP","Evan Scribner",4000,"NYY@Oak 10:05PM ET",4.196
"RP","Fernando Abad",4000,"NYY@Oak 10:05PM ET",0.534
"SP","Juan Nicasio",4000,"LAD@StL 07:15PM ET",5.428
"SP","Jose Alvarez",4000,"Det@LAA 10:05PM ET",3.516
"SP","Tanner Scheppers",4000,"Bos@Tex 07:15PM ET",1.436
"RP","Robbie Ross Jr.",4000,"Bos@Tex 07:15PM ET",1.407
"RP","Craig Kimbrel",4000,"Pit@SD 10:10PM ET",3.226
"SS","Brandon Crawford",4000,"Atl@SF 10:05PM ET",7.980
"RP","Justin Wilson",4000,"NYY@Oak 10:05PM ET",1.441
"RP","Anthony Bass",4000,"Bos@Tex 07:15PM ET",3.583
"RP","Blaine Hardy",4000,"Det@LAA 10:05PM ET",2.495
"RP","Brandon Maurer",4000,"Pit@SD 10:10PM ET",3.091
"RP","Cory Mazzoni",4000,"Pit@SD 10:10PM ET",-0.488
"RP","Austin Adams",4000,"Cle@Sea 10:10PM ET",3.250
"RP","Kelvin Herrera",4000,"KC@ChC 07:15PM ET",3.203
"RP","Bryan Shaw",4000,"Cle@Sea 10:10PM ET",1.563
"RP","Luis Avilan",4000,"Atl@SF 10:05PM ET",2.116
"RP","Arquimedes Caminero",4000,"Pit@SD 10:10PM ET",2.976
"RP","Kevin Siegrist",4000,"LAD@StL 07:15PM ET",3.552
"RP","Koji Uehara",4000,"Bos@Tex 07:15PM ET",3.876
"RP","Junichi Tazawa",4000,"Bos@Tex 07:15PM ET",2.837
"RP","Alex Wilson",4000,"Det@LAA 10:05PM ET",5.185
"RP","Rob Scahill",4000,"Pit@SD 10:10PM ET",3.382
"RP","Trevor Rosenthal",4000,"LAD@StL 07:15PM ET",4.032
"RP","Zac Rosscup",4000,"KC@ChC 07:15PM ET",2.587
"SP","Buck Farmer",4000,"Det@LAA 10:05PM ET",-6.750
"RP","Paco Rodriguez",4000,"LAD@StL 07:15PM ET",1.414
"RP","Angel Nesbitt",4000,"Det@LAA 10:05PM ET",2.102
"RP","Yimi Garcia",4000,"LAD@StL 07:15PM ET",4.429
"RP","Frank Garces",4000,"Pit@SD 10:10PM ET",1.587
"RP","Seth Maness",4000,"LAD@StL 07:15PM ET",1.600
"RP","Shawn Tolleson",4000,"Bos@Tex 07:15PM ET",3.830
"RP","Cam Bedrosian",4000,"Det@LAA 10:05PM ET",1.760
"RP","Chasen Shreve",4000,"NYY@Oak 10:05PM ET",4.100
"SP","Chase Whitley",4000,"NYY@Oak 10:05PM ET",11.325
"RP","Cody Allen",4000,"Cle@Sea 10:10PM ET",2.790
"RP","Adam Liberatore",4000,"LAD@StL 07:15PM ET",3.275
"RP","Alex Claudio",4000,"Bos@Tex 07:15PM ET",2.193
"RP","Brandon Cunniff",4000,"Atl@SF 10:05PM ET",2.528
"RP","Carson Smith",4000,"Cle@Sea 10:10PM ET",3.893
"RP","Kevin Quackenbush",4000,"Pit@SD 10:10PM ET",3.432
"RP","Jacob Lindgren",4000,"NYY@Oak 10:05PM ET",2.575
"RP","Phil Klein",4000,"Bos@Tex 07:15PM ET",1.800
"RP","Keone Kela",4000,"Bos@Tex 07:15PM ET",3.285
"RP","Brandon Finnegan",4000,"KC@ChC 07:15PM ET",6.350
"OF","Carl Crawford",3900,"LAD@StL 07:15PM ET",4.667
"SS","Erick Aybar",3900,"Det@LAA 10:05PM ET",5.833
"OF","Seth Smith",3900,"Cle@Sea 10:10PM ET",6.171
"1B/OF","Kyle Blanks",3900,"Bos@Tex 07:15PM ET",8.733
"SS","Elvis Andrus",3900,"Bos@Tex 07:15PM ET",6.104
"1B/C","Stephen Vogt",3900,"NYY@Oak 10:05PM ET",8.511
"C","Salvador Perez",3900,"KC@ChC 07:15PM ET",6.511
"1B/3B","Pedro Alvarez",3900,"Pit@SD 10:10PM ET",7.133
"3B/OF","Josh Harrison",3900,"Pit@SD 10:10PM ET",7.047
"C","Yan Gomes",3900,"Cle@Sea 10:10PM ET",3.000
"OF","J.D. Martinez",3900,"Det@LAA 10:05PM ET",7.429
"OF","Joc Pederson",3900,"LAD@StL 07:15PM ET",8.298
"2B","Ian Kinsler",3800,"Det@LAA 10:05PM ET",7.469
"SS","Alcides Escobar",3800,"KC@ChC 07:15PM ET",7.237
"2B/3B","Brett Lawrie",3800,"NYY@Oak 10:05PM ET",5.957
"C","Mike Zunino",3800,"Cle@Sea 10:10PM ET",4.884
"OF","Gregory Polanco",3800,"Pit@SD 10:10PM ET",6.935
"SS","Jimmy Rollins",3700,"LAD@StL 07:15PM ET",6.391
"1B","Victor Martinez",3700,"Det@LAA 10:05PM ET",4.853
"C","Yadier Molina",3700,"LAD@StL 07:15PM ET",5.442
"2B","Howie Kendrick",3700,"LAD@StL 07:15PM ET",7.283
"OF","Melvin Upton Jr.",3700,"Pit@SD 10:10PM ET",0
"2B","Neil Walker",3700,"Pit@SD 10:10PM ET",6.587
"1B/OF","Logan Morrison",3700,"Cle@Sea 10:10PM ET",6.170
"C","Yasmani Grandal",3700,"LAD@StL 07:15PM ET",7.212
"1B","Yonder Alonso",3700,"Pit@SD 10:10PM ET",7.192
"1B","Ike Davis",3700,"NYY@Oak 10:05PM ET",5.848
"SS","Starlin Castro",3700,"KC@ChC 07:15PM ET",6.319
"OF","Randal Grichuk",3700,"LAD@StL 07:15PM ET",6.842
"3B/SS","Marcus Semien",3700,"NYY@Oak 10:05PM ET",7.490
"2B/SS","Jurickson Profar",3700,"Bos@Tex 07:15PM ET",0
"OF","Josh Hamilton",3600,"Bos@Tex 07:15PM ET",9.800
"2B","Omar Infante",3600,"KC@ChC 07:15PM ET",4.762
"C","Robinson Chirinos",3600,"Bos@Tex 07:15PM ET",6.968
"OF","Rajai Davis",3600,"Det@LAA 10:05PM ET",7.054
"OF","Michael Bourn",3600,"Cle@Sea 10:10PM ET",5.267
"1B","Billy Butler",3600,"NYY@Oak 10:05PM ET",6.500
"OF","Justin Ruggiano",3600,"Cle@Sea 10:10PM ET",3.531
"OF","Will Venable",3600,"Pit@SD 10:10PM ET",4.865
"OF","Matt Joyce",3600,"Det@LAA 10:05PM ET",4.091
"OF","Peter Bourjos",3600,"LAD@StL 07:15PM ET",4.410
"3B","Lonnie Chisenhall",3600,"Cle@Sea 10:10PM ET",5.133
"3B/OF","Brock Holt",3600,"Bos@Tex 07:15PM ET",5.939
"2B/OF","Delino DeShields",3600,"Bos@Tex 07:15PM ET",6.882
"2B","Joe Panik",3600,"Atl@SF 10:05PM ET",7.191
"SS","Francisco Lindor",3600,"Cle@Sea 10:10PM ET",0
"C","Blake Swihart",3600,"Bos@Tex 07:15PM ET",4.450
"2B/OF","Rickie Weeks",3500,"Cle@Sea 10:10PM ET",3.821
"C","Chris Iannetta",3500,"Det@LAA 10:05PM ET",4.697
"OF","Scott Van Slyke",3500,"LAD@StL 07:15PM ET",4.382
"3B","David Freese",3500,"Det@LAA 10:05PM ET",6.735
"OF","Jarrod Dyson",3500,"KC@ChC 07:15PM ET",4.200
"C","Derek Norris",3500,"Pit@SD 10:10PM ET",7.229
"OF","Anthony Gose",3500,"Det@LAA 10:05PM ET",7.590
"OF","James Jones",3500,"Cle@Sea 10:10PM ET",0
"2B/3B","Jedd Gyorko",3500,"Pit@SD 10:10PM ET",3.974
"2B/SS","Addison Russell",3500,"KC@ChC 07:15PM ET",6.879
"SS","Jung Ho Kang",3500,"Pit@SD 10:10PM ET",6.657
"1B/OF","Garrett Jones",3400,"NYY@Oak 10:05PM ET",3.125
"OF","Gregor Blanco",3400,"Atl@SF 10:05PM ET",4.951
"OF","Chris Young",3400,"NYY@Oak 10:05PM ET",4.614
"OF","Nick Markakis",3400,"Atl@SF 10:05PM ET",6.468
"OF","Andre Ethier",3400,"LAD@StL 07:15PM ET",6.682
"OF","Chris Coghlan",3400,"KC@ChC 07:15PM ET",5.319
"OF","Jon Jay",3400,"LAD@StL 07:15PM ET",4.452
"2B/3B","Justin Turner",3400,"LAD@StL 07:15PM ET",5.744
"C","Christian Vazquez",3400,"Bos@Tex 07:15PM ET",0
"SS","Didi Gregorius",3400,"NYY@Oak 10:05PM ET",4.605
"SS","Brad Miller",3400,"Cle@Sea 10:10PM ET",5.800
"2B/SS","Matt Duffy",3400,"Atl@SF 10:05PM ET",5.919
"C","Miguel Montero",3300,"KC@ChC 07:15PM ET",5.650
"OF","Chris Denorfia",3300,"KC@ChC 07:15PM ET",2.917
"C","Ryan Hanigan",3300,"Bos@Tex 07:15PM ET",5.316
"OF/SS","Mike Aviles",3300,"Cle@Sea 10:10PM ET",5.621
"OF","Sam Fuld",3300,"NYY@Oak 10:05PM ET",4.196
"3B","Will Middlebrooks",3300,"Pit@SD 10:10PM ET",5.660
"OF","Dustin Ackley",3300,"Cle@Sea 10:10PM ET",3.512
"1B/OF","Mark Canha",3300,"NYY@Oak 10:05PM ET",6.525
"3B/OF","Nick Castellanos",3300,"Det@LAA 10:05PM ET",5.490
"2B/SS","Jose Ramirez",3300,"Cle@Sea 10:10PM ET",5.250
"1B/OF","Nick Swisher",3200,"Cle@Sea 10:10PM ET",4.783
"1B/3B","Mark Reynolds",3200,"LAD@StL 07:15PM ET",4.390
"C","Welington Castillo",3200,"Cle@Sea 10:10PM ET",2.964
"OF","Carlos Peguero",3200,"Bos@Tex 07:15PM ET",4.781
"2B/3B","Christian Colon",3200,"KC@ChC 07:15PM ET",4.429
"OF","Billy Burns",3200,"NYY@Oak 10:05PM ET",8.040
"SS","Jose Peraza",3200,"Atl@SF 10:05PM ET",0
"2B","Tommy La Stella",3200,"KC@ChC 07:15PM ET",4.000
"1B/OF","Ryan Rua",3200,"Bos@Tex 07:15PM ET",3.600
"SS","Chris Taylor",3200,"Cle@Sea 10:10PM ET",3.250
"3B","Juan Uribe",3100,"Atl@SF 10:05PM ET",3.594
"C","Erik Kratz",3100,"KC@ChC 07:15PM ET",0.500
"OF","David Murphy",3100,"Cle@Sea 10:10PM ET",4.350
"2B/SS","Stephen Drew",3100,"NYY@Oak 10:05PM ET",4.422
"C","Francisco Cervelli",3100,"Pit@SD 10:10PM ET",6.027
"OF","Chris Heisey",3100,"LAD@StL 07:15PM ET",3.400
"2B/3B","Yangervis Solarte",3100,"Pit@SD 10:10PM ET",5.500
"C","Alex Avila",3100,"Det@LAA 10:05PM ET",4.957
"OF","Jerry Sands",3100,"Cle@Sea 10:10PM ET",4.889
"SS","Andrelton Simmons",3100,"Atl@SF 10:05PM ET",6.792
"OF","Eric Young Jr.",3000,"Atl@SF 10:05PM ET",3.375
"OF","Cameron Maybin",3000,"Atl@SF 10:05PM ET",6.707
"OF","Justin Maxwell",3000,"Atl@SF 10:05PM ET",4.925
"OF","Paulo Orlando",3000,"KC@ChC 07:15PM ET",5.594
"1B/3B","Chris Johnson",3000,"Atl@SF 10:05PM ET",4.278
"OF","Grant Green",3000,"Det@LAA 10:05PM ET",2.833
"2B","Eric Sogard",3000,"NYY@Oak 10:05PM ET",4.511
"OF","Daniel Nava",3000,"Bos@Tex 07:15PM ET",2.741
"OF","Kirk Nieuwenhuis",3000,"Det@LAA 10:05PM ET",1.655
"2B/SS","Jose Pirela",3000,"NYY@Oak 10:05PM ET",1.667
