"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
20,88724610,"Gunners06 (2/100)",0,146.10,"(SS) Jose Reyes ,(OF) Ryan Raburn ,(3B) Miguel Cabrera ,(OF) Justin Upton ,(C) Derek Norris ,(2B) Jose Altuve ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper "
22,88746080,"Croation (1/100)",0,145.50,"(P) Bartolo Colon ,(OF) Nelson Cruz ,(SS) Jhonny Peralta ,(OF) Justin Upton ,(C) Michael McKenry ,(3B) Todd Frazier ,(OF) Mike Trout ,(1B) Paul Goldschmidt ,(2B) Brian Dozier ,(P) Tsuyoshi Wada "
23,88811844,"fatcats1 (1/100)",0,145.15,"(2B) Brandon Phillips ,(1B) Prince Fielder ,(SS) Jhonny Peralta ,(OF) Steven Souza Jr. ,(OF) Giancarlo Stanton ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(P) Drew Hutchison ,(P) Carlos Martinez ,(C) Evan Gattis "
24,88776714,"jmbwngfn (1/100)",0,145.00,"(1B) Adam LaRoche ,(OF) Ryan Raburn ,(SS) Jhonny Peralta ,(OF) Justin Upton ,(3B) Evan Longoria ,(P) Madison Bumgarner ,(C) Stephen Vogt ,(OF) Charlie Blackmon ,(2B) Jose Altuve ,(P) Carlos Martinez "
25,88744942,"Bravesneverlose (4/100)",0,144.95,"(SS) Jose Reyes ,(OF) Ben Zobrist ,(3B) Josh Donaldson ,(OF) Billy Burns ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(2B) Delino DeShields ,(OF) Joc Pederson ,(C) Evan Gattis "
26,88785973,"tjblied (2/100)",0,144.55,"(3B) Adrian Beltre ,(OF) Shin-soo Choo ,(SS) Hanley Ramirez ,(C) Martin Maldonado ,(OF) Justin Upton ,(1B) Brandon Belt ,(OF) Giancarlo Stanton ,(2B) Jose Altuve ,(P) Danny Salazar ,(P) Carlos Martinez "
27,88796159,"michez650 (1/100)",0,144.50,"(P) Bartolo Colon ,(OF) Hanley Ramirez ,(OF) Matt Joyce ,(3B) Jimmy Paredes ,(C) Stephen Vogt ,(SS) Brandon Crawford ,(2B) Jason Kipnis ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(OF) Bryce Harper "
28,88747072,"plakilak6 (1/100)",0,144.25,"(C) Brian McCann ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(OF) Steven Souza Jr. ,(OF) Giancarlo Stanton ,(P) Jake Odorizzi ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(2B) Joe Panik ,(SS) Jung Ho Kang "
28,88774778,"plakilak6 (2/100)",0,144.25,"(C) Brian McCann ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(OF) Steven Souza Jr. ,(OF) Giancarlo Stanton ,(P) Jake Odorizzi ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(2B) Joe Panik ,(SS) Jung Ho Kang "
30,88814898,"jalsman (1/100)",0,144.00,"(OF) Ichiro Suzuki ,(OF) Mark Trumbo ,(P) Madison Bumgarner ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(2B) Jose Altuve ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(C) Evan Gattis ,(SS) Hanser Alberto "
30,88825410,"jalsman (2/100)",0,144.00,"(OF) Ichiro Suzuki ,(OF) Mark Trumbo ,(P) Madison Bumgarner ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(2B) Jose Altuve ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(C) Evan Gattis ,(SS) Hanser Alberto "
32,88756031,"mandersonapd (1/100)",0,143.45,"(OF) Josh Hamilton ,(OF) Nelson Cruz ,(1B) Prince Fielder ,(P) Jesse Chavez ,(SS) Jhonny Peralta ,(C) Stephen Vogt ,(3B) Josh Donaldson ,(2B) Dee Gordon ,(OF) A.J. Pollock ,(P) Chase Anderson "
33,88794315,"Deiner10 (2/100)",0,143.15,"(OF) Ryan Raburn ,(SS) Hanley Ramirez ,(P) Madison Bumgarner ,(OF) Giancarlo Stanton ,(C) Derek Norris ,(3B) Will Middlebrooks ,(P) Jake Odorizzi ,(OF) Billy Burns ,(2B) Jose Altuve ,(1B) Paul Goldschmidt "
33,88804400,"Deiner10 (3/100)",0,143.15,"(OF) Ryan Raburn ,(SS) Hanley Ramirez ,(P) Madison Bumgarner ,(OF) Giancarlo Stanton ,(C) Derek Norris ,(3B) Will Middlebrooks ,(P) Jake Odorizzi ,(OF) Billy Burns ,(2B) Jose Altuve ,(1B) Paul Goldschmidt "
33,88810285,"Deiner10 (8/100)",0,143.15,"(OF) Ryan Raburn ,(SS) Hanley Ramirez ,(P) Madison Bumgarner ,(OF) Giancarlo Stanton ,(C) Derek Norris ,(3B) Will Middlebrooks ,(P) Jake Odorizzi ,(OF) Billy Burns ,(2B) Jose Altuve ,(1B) Paul Goldschmidt "
33,88820286,"Deiner10 (10/100)",0,143.15,"(OF) Ryan Raburn ,(SS) Hanley Ramirez ,(P) Madison Bumgarner ,(OF) Giancarlo Stanton ,(C) Derek Norris ,(3B) Will Middlebrooks ,(P) Jake Odorizzi ,(OF) Billy Burns ,(2B) Jose Altuve ,(1B) Paul Goldschmidt "
37,88847004,"CadKing (7/100)",0,142.85,"(SS) Jose Reyes ,(1B) Brandon Belt ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
37,88847025,"CadKing (19/100)",0,142.85,"(SS) Jose Reyes ,(1B) Brandon Belt ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
37,88856964,"CadKing (1/100)",0,142.85,"(SS) Jose Reyes ,(1B) Brandon Belt ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
37,88856992,"CadKing (13/100)",0,142.85,"(SS) Jose Reyes ,(1B) Brandon Belt ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
37,88857017,"CadKing (25/100)",0,142.85,"(SS) Jose Reyes ,(1B) Brandon Belt ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
42,88847392,"kovac06 (16/100)",0,142.80,"(P) Bartolo Colon ,(SS) Jose Reyes ,(C) Carlos Santana ,(P) Madison Bumgarner ,(1B) Stephen Vogt ,(2B) Jose Altuve ,(3B) Manny Machado ,(OF) Delino DeShields ,(OF) Joc Pederson ,(OF) Evan Gattis "
42,88857234,"kovac06 (5/100)",0,142.80,"(P) Bartolo Colon ,(SS) Jose Reyes ,(C) Carlos Santana ,(P) Madison Bumgarner ,(1B) Stephen Vogt ,(2B) Jose Altuve ,(3B) Manny Machado ,(OF) Delino DeShields ,(OF) Joc Pederson ,(OF) Evan Gattis "
44,88857220,"chargerfan00 (1/100)",0,142.10,"(SS) Jose Reyes ,(C) Brian McCann ,(OF) Justin Upton ,(3B) Josh Donaldson ,(OF) Giancarlo Stanton ,(2B) Dee Gordon ,(OF) Joey Butler ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(P) Carlos Martinez "
45,88750808,"mikeqb2 (1/100)",0,142.00,"(OF) Ryan Raburn ,(SS) Hanley Ramirez ,(OF) Chris Colabello ,(P) Madison Bumgarner ,(1B) Lucas Duda ,(3B) Josh Donaldson ,(C) Derek Norris ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Carlos Martinez "
45,88830982,"ocdobv (1/100)",0,142.00,"(SS) Jose Reyes ,(C) Carlos Santana ,(1B) Brandon Belt ,(P) Madison Bumgarner ,(OF) Joey Butler ,(2B) Jose Altuve ,(OF) George Springer ,(P) Carlos Martinez ,(OF) Joc Pederson ,(3B) Kris Bryant "
47,88847298,"waterboyalz (2/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847400,"waterboyalz (5/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847418,"waterboyalz (14/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847436,"waterboyalz (20/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847501,"waterboyalz (23/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847508,"waterboyalz (26/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847515,"waterboyalz (29/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847522,"waterboyalz (32/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88847551,"waterboyalz (38/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88857270,"waterboyalz (8/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88857275,"waterboyalz (11/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88857297,"waterboyalz (17/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88857333,"waterboyalz (35/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
47,88857359,"waterboyalz (41/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
