rank,name,opp_team,real_lineup,fd_pts,fd_salary,dk_pts,dk_salary,batters,ump,platoon,park,hfa,dh,pen_era,ip,era,k_nine,team_w_perc,w,l,k,bb,h,hr,er
1,Zack Greinke,SDN,Y,15.54,9900,26.76,10400,9,,6,LAD,Y,N,2.42,6.94,2.71,11.11,0.68,0.48,0.23,8.57,1.33,5.4,0.68,1.88
2,Max Scherzer,PHI,Y,14.94,11700,25.55,12700,9,,3,WAS,Y,N,2.7,6.9,2.79,10.6,0.65,0.46,0.25,8.13,1.34,5.63,0.54,1.93
3,Felix Hernandez,TOR,Y,14.58,11300,24.88,10800,9,,6,TOR,N,Y,3.49,6.77,3.01,11.03,0.57,0.4,0.3,8.3,1.43,5.63,0.7,2.11
4,Chris Archer,OAK,Y,14.05,9100,23.68,8600,9,,2,TBR,Y,Y,2.85,6.81,2.95,10.12,0.57,0.4,0.3,7.66,1.61,5.74,0.55,2.03
5,Gerrit Cole,NYN,Y,13.9,9400,23.27,9200,9,,5,PIT,Y,N,2.65,6.81,2.95,9.78,0.6,0.42,0.29,7.4,1.58,5.86,0.47,1.99
6,Michael Pineda,TEX,Y,13.94,9500,23.14,9400,9,,5,NYY,Y,Y,2.9,6.65,3.23,10.19,0.7,0.5,0.21,7.53,1.34,5.88,0.77,2.22
7,Ubaldo Jimenez,MIA,Y,12.83,7200,20.99,7000,9,,6,MIA,N,Y,2.96,6.57,3.37,9.7,0.52,0.37,0.34,7.08,2.03,5.81,0.53,2.28
8,Jon Lester,ARI,Y,12.43,9300,20.64,9000,9,,1,ARI,N,N,3.29,6.51,3.47,9.61,0.48,0.34,0.37,6.95,1.55,5.86,0.66,2.37
9,Josh Collmenter,CHN,Y,12.21,6200,20.21,4700,9,,6,ARI,Y,N,2.73,6.4,3.66,9.56,0.52,0.37,0.34,6.8,1.41,5.55,0.93,2.46
10,Wily Peralta,ATL,Y,12.27,6800,20.11,7300,9,,3,ATL,N,N,2.69,6.59,3.32,8.86,0.51,0.36,0.35,6.49,1.55,6.21,0.52,2.25
11,Scott Kazmir,TBA,Y,12.01,8500,19.72,7600,9,,1,TBR,N,Y,2.92,6.43,3.61,9.56,0.43,0.3,0.41,6.83,1.96,5.61,0.8,2.45
12,Carlos Carrasco,CIN,Y,12.08,8700,19.45,8800,9,,4,CLE,Y,Y,3.51,6.38,3.7,9.31,0.56,0.39,0.31,6.6,1.51,6.19,0.64,2.47
13,Jeff Samardzija,MIN,Y,11.62,8900,18.41,8700,9,,4,CHW,Y,Y,3.27,6.27,3.88,9.0,0.59,0.41,0.29,6.27,1.75,6.09,0.73,2.57
14,Collin McHugh,DET,Y,11.32,8700,17.98,7800,9,,8,DET,N,Y,3.49,6.28,3.87,8.81,0.53,0.37,0.33,6.15,1.52,6.22,0.72,2.6
15,Eric Stults,MIL,Y,11.03,5800,17.79,5600,9,,0,ATL,Y,N,2.2,6.34,3.77,8.28,0.49,0.34,0.36,5.83,1.27,6.05,0.87,2.51
16,Marco Estrada,SEA,Y,10.76,6700,17.38,5400,9,,4,TOR,Y,Y,3.0,5.88,4.56,10.27,0.43,0.3,0.41,6.71,1.59,5.61,1.25,3.03
17,Henderson Alvarez,BAL,Y,10.19,6300,15.93,5600,9,,5,MIA,Y,N,3.05,6.34,3.76,7.05,0.48,0.34,0.37,4.96,1.33,6.35,0.6,2.47
18,Lance Lynn,KCA,Y,10.27,8800,15.67,9300,9,,5,KCR,N,N,3.8,6.15,4.09,7.9,0.48,0.34,0.37,5.4,1.81,6.28,0.59,2.65
19,Andrew Cashner,LAN,Y,9.85,8100,15.58,8100,9,,4,LAD,N,N,3.72,6.02,4.32,8.63,0.32,0.23,0.48,5.77,1.92,5.91,0.9,2.85
20,Chris Young,SLN,Y,9.95,6300,15.23,5100,9,,5,KCR,Y,Y,3.4,6.15,4.1,7.41,0.52,0.36,0.34,5.06,1.77,5.83,0.84,2.71
21,Phil Hughes,CHA,Y,9.49,7800,14.78,7200,9,,4,CHW,N,Y,4.14,5.93,4.47,8.17,0.41,0.29,0.42,5.39,1.25,6.24,0.97,2.99
22,Noah Syndergaard,PIT,Y,9.71,7700,14.77,7500,9,,6,PIT,N,N,2.27,6.02,4.32,8.04,0.4,0.28,0.43,5.38,1.74,6.36,0.67,2.81
23,Garrett Richards,BOS,Y,9.84,9000,14.62,9600,9,,6,BOS,N,Y,4.21,6.01,4.33,7.86,0.49,0.34,0.37,5.25,2.22,6.32,0.5,2.79
24,Rick Porcello,ANA,Y,9.52,7900,14.08,7100,9,,5,BOS,Y,Y,3.87,5.92,4.49,7.66,0.51,0.36,0.35,5.04,1.58,6.55,0.64,2.89
25,Alfredo Simon,HOU,Y,9.12,7700,13.5,5500,9,,4,DET,Y,Y,3.75,5.87,4.57,7.48,0.47,0.33,0.38,4.88,1.89,6.03,0.93,2.96
26,Sean O'Sullivan,WAS,Y,8.64,5400,12.88,5200,9,,5,WAS,N,N,3.38,5.95,4.44,6.96,0.35,0.24,0.47,4.6,1.67,6.33,0.78,2.88
27,Ryan Vogelsong,COL,Y,8.51,6400,12.29,5300,9,,6,COL,N,N,4.09,5.45,5.3,8.35,0.49,0.34,0.37,5.05,1.34,6.35,1.0,3.37
28,Mike Leake,CLE,Y,8.45,6900,12.06,6600,9,,3,CLE,N,N,3.64,5.91,4.51,6.39,0.44,0.31,0.4,4.2,1.79,6.42,0.68,2.9
29,Colby Lewis,NYA,Y,6.87,6400,9.61,7400,9,,1,NYY,N,Y,4.67,5.2,5.74,7.8,0.3,0.21,0.5,4.51,1.9,5.68,1.31,3.67
30,Kyle Kendrick,SFN,Y,6.46,5600,7.8,4000,9,,4,COL,Y,N,4.03,5.35,5.49,5.08,0.51,0.36,0.35,3.02,1.51,6.71,0.69,3.35
