rank,name,opp_team,real_lineup,fd_pts,fd_salary,dk_pts,dk_salary,batters,ump,platoon,park,hfa,dh,pen_era,ip,era,k_nine,team_w_perc,w,l,k,bb,h,hr,er
11,Erasmo Ramirez,WAS,Y,11.68,5900,18.81,5600,9,,5,TBR,Y,Y,2.41,6.35,3.74,9.1,0.49,0.35,0.36,6.42,1.61,6.05,0.78,2.48
12,Dallas Keuchel,COL,Y,11.73,9700,18.74,9600,9,,1,HOU,Y,Y,2.97,6.48,3.51,8.25,0.59,0.42,0.29,5.94,1.37,6.38,0.56,2.36
13,Carlos Rodon,PIT,Y,11.56,7200,18.5,6500,9,,1,PIT,N,Y,2.55,6.54,3.41,8.38,0.43,0.3,0.41,6.09,2.11,5.76,0.6,2.28
14,Jesse Hahn,SDN,N,11.26,7500,18.11,6400,9,,4,SDP,N,Y,2.28,6.61,3.3,7.67,0.45,0.31,0.39,5.64,2.02,5.8,0.57,2.24
15,Tim Hudson,SEA,Y,11.11,6500,17.62,6200,9,,4,SFG,Y,N,2.68,6.5,3.48,7.42,0.55,0.39,0.32,5.36,1.42,6.25,0.54,2.29
16,Kyle Lohse,KCA,Y,10.91,5900,17.54,5300,9,,6,MIL,Y,N,2.8,6.42,3.63,7.63,0.53,0.37,0.34,5.44,1.08,6.16,0.79,2.43
17,Jered Weaver,ARI,Y,11.03,7500,17.45,6700,9,,6,ANA,Y,Y,2.95,6.42,3.63,7.61,0.58,0.41,0.3,5.43,1.32,6.11,0.78,2.46
18,Taijuan Walker,SFN,Y,10.82,7500,17.09,7900,9,,3,SFG,N,Y,3.24,6.42,3.62,7.76,0.45,0.32,0.39,5.54,1.92,6.16,0.47,2.41
19,Trevor May,SLN,Y,10.49,6500,16.89,6900,9,,5,STL,N,Y,2.48,6.37,3.71,7.98,0.35,0.25,0.46,5.65,1.87,5.85,0.67,2.51
20,Edinson Volquez,MIL,Y,10.5,8500,16.37,7100,9,,5,MIL,N,Y,2.95,6.33,3.78,7.62,0.47,0.33,0.37,5.36,1.91,5.93,0.73,2.53
21,Chad Bettis,HOU,Y,9.78,6600,15.08,6000,9,,4,HOU,N,N,3.26,5.83,4.64,8.97,0.41,0.29,0.42,5.81,2.07,5.71,1.02,3.02
22,Mark Buehrle,NYN,Y,9.21,7600,14.34,6800,9,,2,NYM,N,Y,2.25,6.32,3.8,6.17,0.41,0.29,0.42,4.33,1.35,6.12,0.82,2.59
23,Tom Koehler,NYA,Y,9.33,6500,14.09,5800,9,,1,MIA,Y,N,2.55,6.05,4.27,7.08,0.45,0.31,0.39,4.76,2.3,5.73,0.72,2.74
24,Rick Porcello,ATL,Y,9.42,7600,13.94,6600,9,,4,BOS,Y,Y,3.61,6.05,4.27,6.97,0.52,0.36,0.34,4.69,1.41,6.71,0.54,2.77
25,Robbie Ray,ANA,Y,8.72,6000,12.56,5100,9,,2,ANA,N,N,3.7,5.9,4.52,6.91,0.42,0.29,0.41,4.53,2.32,6.08,0.79,2.89
26,Carlos Frias,TEX,Y,8.78,6400,12.37,4500,9,,3,TEX,N,N,2.27,5.69,4.89,7.33,0.54,0.38,0.33,4.63,1.89,6.36,0.81,3.07
27,Yovani Gallardo,LAN,Y,8.28,7800,11.65,7400,9,,3,TEX,Y,Y,3.45,5.65,4.96,7.12,0.46,0.32,0.39,4.47,1.95,6.4,0.74,3.13
28,Jon Moscot,DET,Y,7.62,5300,10.57,4200,9,,8,DET,N,N,3.61,5.73,4.83,6.18,0.37,0.26,0.45,3.93,1.8,6.3,0.86,3.08
29,Aaron Harang,BAL,Y,7.12,7200,9.98,6300,9,,4,BAL,N,N,3.46,5.33,5.51,7.31,0.35,0.24,0.47,4.33,1.61,6.07,1.13,3.52
30,Williams Perez,BOS,Y,7.26,5800,9.12,4400,9,,5,BOS,N,N,2.48,5.44,5.33,6.15,0.48,0.34,0.37,3.72,2.38,6.41,0.55,3.25
