rank,name,opp_team,real_lineup,fd_pts,fd_salary,dk_pts,dk_salary,batters,ump,platoon,park,hfa,dh,pen_era,ip,era,k_nine,team_w_perc,w,l,k,bb,h,hr,er
1,Tyson Ross,OAK,Y,14.24,9000,24.18,8700,9,,3,SDP,Y,N,2.43,6.92,2.75,9.92,0.55,0.39,0.32,7.63,2.21,5.25,0.47,1.87
2,Francisco Liriano,CHA,Y,14.14,9400,23.84,10000,9,,2,PIT,Y,N,2.56,6.94,2.71,9.63,0.57,0.4,0.31,7.43,1.69,5.84,0.41,1.84
3,Masahiro Tanaka,MIA,Y,13.5,9600,22.74,10600,9,,4,MIA,N,Y,2.78,6.73,3.08,9.83,0.55,0.39,0.32,7.35,1.27,5.97,0.5,2.15
4,Jake Arrieta,CLE,Y,13.16,9800,21.67,9400,9,,3,CHC,Y,N,3.46,6.51,3.46,10.17,0.56,0.39,0.31,7.36,2.15,5.59,0.61,2.28
5,John Lackey,MIN,Y,13.01,8200,21.57,7700,9,,6,STL,Y,N,1.62,6.97,2.67,7.79,0.65,0.46,0.25,6.03,1.5,5.54,0.54,1.83
6,Noah Syndergaard,TOR,Y,12.5,7700,20.58,8200,9,,5,NYM,Y,N,1.28,6.48,3.51,9.33,0.59,0.42,0.29,6.71,1.85,5.3,0.96,2.36
7,Gio Gonzalez,TBA,Y,12.47,8600,20.33,8500,9,,1,TBR,N,N,2.46,6.5,3.49,9.53,0.51,0.36,0.35,6.88,2.11,5.77,0.64,2.34
8,Trevor Bauer,CHN,Y,12.14,8400,19.72,7800,9,,5,CHC,N,Y,3.4,6.16,4.08,10.87,0.44,0.31,0.4,7.44,2.59,5.37,0.81,2.7
9,Wei-Yin Chen,PHI,Y,12.12,7400,19.7,7700,9,,4,BAL,Y,Y,2.98,6.58,3.34,8.22,0.65,0.46,0.25,6.01,1.03,6.05,0.78,2.31
10,Anibal Sanchez,CIN,Y,12.02,8100,19.2,8000,9,,3,DET,Y,Y,2.56,6.48,3.52,8.53,0.63,0.44,0.26,6.14,1.71,5.9,0.68,2.38
