rank,name,opp_team,real_lineup,fd_pts,fd_salary,dk_pts,dk_salary,batters,ump,platoon,park,hfa,dh,pen_era,ip,era,k_nine,team_w_perc,w,l,k,bb,h,hr,er
11,Lance Lynn,MIL,Y,10.08,8700,15.37,8700,9,,6,STL,Y,N,3.66,6.36,3.73,6.34,0.56,0.4,0.31,4.48,2.09,5.71,0.45,2.35
12,Travis Wood,CIN,Y,9.86,5900,14.97,6100,9,,3,CHC,Y,N,3.92,6.18,4.04,6.87,0.54,0.38,0.33,4.72,1.93,5.78,0.69,2.56
13,Wade Miley,WAS,Y,9.65,7800,14.06,6500,9,,1,BOS,Y,Y,3.76,5.86,4.59,7.87,0.54,0.38,0.33,5.12,2.42,6.03,0.71,2.86
14,Brett Anderson,SEA,N,9.61,6300,14.71,6700,9,,6,LAD,Y,N,4.09,6.13,4.13,7.0,0.48,0.34,0.37,4.77,1.81,5.8,0.9,2.63
15,Drew Pomeranz,HOU,Y,9.37,6800,13.49,6100,9,,2,HOU,N,Y,1.66,5.56,5.12,9.23,0.46,0.33,0.38,5.7,2.77,5.86,1.07,3.2
16,Gio Gonzalez,BOS,Y,9.25,9300,13.3,8400,9,,1,BOS,N,N,4.99,5.87,4.58,7.53,0.46,0.32,0.39,4.91,2.72,5.98,0.55,2.82
17,Jerome Williams,NYN,Y,9.24,6400,13.97,5100,9,,5,NYM,N,N,3.53,5.98,4.38,7.62,0.35,0.25,0.46,5.06,2.35,5.79,0.76,2.79
18,Tyler Matzek,SFN,N,9.12,5800,13.35,6200,9,,5,SFG,N,N,2.93,6.21,3.99,5.91,0.49,0.35,0.36,4.08,2.12,6.1,0.43,2.56
19,John Danks,CLE,Y,9.11,6400,13.21,5700,9,,3,CLE,N,Y,3.95,5.98,4.38,7.03,0.44,0.31,0.4,4.67,2.26,6.24,0.66,2.8
20,Bud Norris,NYA,Y,8.99,7500,12.66,7400,9,,2,BAL,Y,Y,3.63,5.68,4.91,7.88,0.5,0.35,0.36,4.98,2.17,6.44,1.08,3.06
21,Eric Stults,MIA,Y,8.99,6300,14.14,5600,9,,2,ATL,Y,N,3.45,6.28,3.86,6.29,0.28,0.2,0.51,4.39,1.48,6.03,0.66,2.48
22,Nathan Eovaldi,BAL,Y,8.66,7500,12.25,6200,9,,4,BAL,N,Y,4.23,5.78,4.74,7.0,0.5,0.35,0.35,4.49,1.66,6.58,0.91,3.03
23,Kyle Gibson,KCA,Y,8.43,6100,11.81,5500,9,,4,MIN,Y,Y,3.8,6.16,4.08,4.76,0.58,0.41,0.3,3.26,1.62,6.49,0.48,2.61
24,Wily Peralta,SLN,Y,8.24,7500,11.54,7400,9,,4,STL,N,N,3.97,5.98,4.39,5.67,0.44,0.31,0.4,3.77,2.22,6.22,0.58,2.74
25,Edinson Volquez,MIN,Y,8.14,8900,10.98,6200,9,,4,MIN,N,Y,4.52,5.62,5.01,7.05,0.42,0.3,0.41,4.4,2.74,6.21,0.65,3.07
26,Alfredo Simon,PIT,Y,8.14,6900,11.68,5300,9,,5,PIT,N,Y,2.98,5.96,4.43,6.09,0.35,0.25,0.46,4.04,1.91,6.33,0.62,2.84
27,Jason Marquis,CHN,Y,7.74,5500,10.0,4600,9,,3,CHC,N,N,3.05,5.46,5.29,6.88,0.46,0.32,0.38,4.17,2.81,6.19,0.73,3.19
28,Anthony Ranaudo,ANA,Y,7.68,,9.61,4800,9,,2,TEX,Y,Y,2.66,5.35,5.48,6.98,0.53,0.37,0.33,4.15,2.59,6.51,0.85,3.32
29,Hector Santiago,TEX,Y,7.46,6700,9.34,5800,9,,3,TEX,N,Y,3.42,5.42,5.36,6.68,0.47,0.33,0.38,4.02,2.29,6.74,0.9,3.3
30,Erasmo Ramirez,TOR,Y,6.96,5000,9.15,5000,9,,5,TOR,N,Y,5.0,5.37,5.45,7.15,0.25,0.18,0.54,4.26,2.65,6.14,1.1,3.37
