rank,name,opp_team,real_lineup,fd_pts,fd_salary,dk_pts,dk_salary,batters,ump,platoon,park,hfa,dh,pen_era,ip,era,k_nine,team_w_perc,w,l,k,bb,h,hr,er
1,Francisco Liriano,DET,Y,13.3,8200,22.21,8700,9,,0,PIT,Y,N,2.62,7.05,2.52,7.76,0.65,0.46,0.25,6.08,2.06,4.89,0.36,1.67
2,Mark Buehrle,TBA,Y,12.87,7700,20.84,6200,9,,1,TOR,Y,Y,1.68,6.8,2.96,7.87,0.75,0.53,0.18,5.95,1.49,5.56,0.58,1.99
3,Jon Niese,PHI,Y,12.24,7800,20.27,7600,9,,4,NYM,Y,N,2.81,6.93,2.73,6.88,0.65,0.46,0.25,5.3,1.47,5.06,0.52,1.83
4,Brandon Morrow,ARI,N,12.13,6600,19.91,6700,9,,7,SDP,Y,N,1.93,6.8,2.96,7.39,0.6,0.42,0.29,5.58,2.25,4.86,0.47,1.94
5,Dan Haren,ATL,Y,12.1,7500,20.38,6900,8,,4,ATL,N,N,2.35,7.2,2.27,5.38,0.72,0.51,0.2,4.3,1.27,3.96,0.46,1.42
6,Collin McHugh,OAK,Y,11.47,8300,18.46,7700,9,,4,HOU,Y,Y,3.64,6.48,3.52,8.06,0.54,0.38,0.33,5.8,2.01,5.45,0.66,2.32
7,Chase Anderson,SDN,N,11.37,6500,18.51,5900,9,,8,SDP,N,N,2.78,6.5,3.48,8.33,0.4,0.28,0.43,6.01,2.68,5.01,0.61,2.28
8,Taijuan Walker,LAN,N,10.43,7200,16.1,7400,9,,3,LAD,N,Y,3.54,6.27,3.89,7.5,0.52,0.37,0.34,5.23,1.95,5.88,0.71,2.54
9,Trevor Bauer,CHA,Y,10.39,8400,15.91,7300,9,,3,CLE,Y,Y,3.68,6.29,3.85,7.16,0.56,0.39,0.32,5.0,2.17,5.76,0.61,2.47
10,Tim Lincecum,COL,N,10.3,6900,15.94,7400,9,,5,SFG,Y,N,3.36,6.23,3.96,7.43,0.51,0.36,0.35,5.14,2.3,5.54,0.55,2.5
