"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
20,85965991,"CoopPark (1/50)",0,168.90,"(OF) Michael Cuddyer ,(2B) Ian Kinsler ,(3B) Luis Valbuena ,(OF) John Mayberry ,(P) Clayton Kershaw ,(1B) Lucas Duda ,(SS) Andrew Romine ,(P) Jacob deGrom ,(C) James McCann ,(OF) Yoenis Cespedes "
20,85966000,"CoopPark (2/50)",0,168.90,"(OF) Michael Cuddyer ,(2B) Ian Kinsler ,(3B) Luis Valbuena ,(OF) John Mayberry ,(P) Clayton Kershaw ,(1B) Lucas Duda ,(SS) Andrew Romine ,(P) Jacob deGrom ,(C) James McCann ,(OF) Yoenis Cespedes "
23,85917051,"corymowery43 (1/50)",0,165.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(P) David Price ,(OF) Anthony Gose ,(OF) Charlie Blackmon ,(SS) Jose Iglesias ,(3B) Nick Castellanos ,(P) Jacob deGrom ,(C) James McCann ,(OF) Yoenis Cespedes "
23,85941609,"alf3000 (1/50)",0,165.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(C) Michael McKenry ,(P) David Price ,(SS) Andrew Romine ,(OF) Anthony Gose ,(OF) J.D. Martinez ,(3B) Nick Castellanos ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
25,85888029,"djcarr (1/50)",0,163.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Steve Pearce ,(OF) Logan Morrison ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
26,85945994,"bigdogbull (1/50)",0,162.25,"(2B) Chase Utley ,(1B) Ryan Howard ,(C) Michael McKenry ,(P) David Price ,(P) Madison Bumgarner ,(OF) Anthony Gose ,(3B) Matt Carpenter ,(OF) Darin Ruf ,(SS) Jonathan Villar ,(OF) Yoenis Cespedes "
27,85963210,"weswjohnson (3/50)",0,158.80,"(2B) Robinson Cano ,(OF) Nelson Cruz ,(1B) Miguel Cabrera ,(P) David Price ,(OF) Dustin Ackley ,(3B) Nick Castellanos ,(P) Jacob deGrom ,(C) James McCann ,(SS) Matt Duffy ,(OF) Yoenis Cespedes "
28,85892075,"ealb24 (1/50)",0,157.25,"(OF) Curtis Granderson ,(3B) Martin Prado ,(OF) Juan Lagares ,(P) Madison Bumgarner ,(1B) Lucas Duda ,(OF) Giancarlo Stanton ,(SS) Freddy Galvis ,(2B) Kolten Wong ,(P) Jacob deGrom ,(C) Evan Gattis "
29,85947925,"freak4444 (1/50)",0,155.80,"(1B) Michael Cuddyer ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(C) Michael McKenry ,(2B) Justin Turner ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(OF) Ender Inciarte ,(P) Jacob deGrom "
29,85957189,"freak4444 (2/50)",0,155.80,"(1B) Michael Cuddyer ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(C) Michael McKenry ,(2B) Justin Turner ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(OF) Ender Inciarte ,(P) Jacob deGrom "
31,85931773,"Papakulevich (1/50)",0,154.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) John Mayberry ,(OF) Steve Pearce ,(P) David Price ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(P) Jacob deGrom ,(C) Evan Gattis ,(SS) Brad Miller "
31,85954702,"TheRealDeal27 (1/50)",0,154.80,"(1B) Miguel Cabrera ,(OF) Mark Trumbo ,(2B) Daniel Murphy ,(P) David Price ,(OF) J.D. Martinez ,(OF) Ender Inciarte ,(SS) Adeiny Hechavarria ,(3B) Nick Castellanos ,(P) Jacob deGrom ,(C) James McCann "
31,85963158,"weswjohnson (2/50)",0,154.80,"(OF) Rajai Davis ,(1B) Miguel Cabrera ,(2B) Ian Kinsler ,(SS) Cliff Pennington ,(P) David Price ,(C) Tony Cruz ,(OF) J.D. Martinez ,(3B) Nick Castellanos ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
34,85934743,"jmw1960 (3/50)",0,154.25,"(2B) Robinson Cano ,(1B) Steve Pearce ,(P) Madison Bumgarner ,(C) Buster Posey ,(OF) Charlie Blackmon ,(SS) Jonathan Villar ,(3B) Manny Machado ,(P) Jacob deGrom ,(OF) Evan Gattis ,(OF) Yoenis Cespedes "
34,85944063,"jmw1960 (1/50)",0,154.25,"(2B) Robinson Cano ,(1B) Steve Pearce ,(P) Madison Bumgarner ,(C) Buster Posey ,(OF) Charlie Blackmon ,(SS) Jonathan Villar ,(3B) Manny Machado ,(P) Jacob deGrom ,(OF) Evan Gattis ,(OF) Yoenis Cespedes "
34,85944074,"jmw1960 (2/50)",0,154.25,"(2B) Robinson Cano ,(1B) Steve Pearce ,(P) Madison Bumgarner ,(C) Buster Posey ,(OF) Charlie Blackmon ,(SS) Jonathan Villar ,(3B) Manny Machado ,(P) Jacob deGrom ,(OF) Evan Gattis ,(OF) Yoenis Cespedes "
37,85954833,"CDub20 (5/50)",0,153.90,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) John Mayberry ,(OF) Steve Pearce ,(P) Clayton Kershaw ,(C) Michael McKenry ,(3B) Eric Campbell ,(OF) Ender Inciarte ,(P) Jacob deGrom ,(SS) Brad Miller "
38,85856895,"bobhook9 (1/50)",0,153.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Jimmy Paredes ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(C) James McCann ,(SS) Brad Miller ,(OF) Yasmany Tomas "
