"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14447-9739","C","JaVale","McGee","11.7","22","3700","DAL@SA","DAL","SA","","","",""
"14447-15548","SG","Andre","Roberson","13","40","3600","MIA@OKC","OKC","MIA","","","",""
"14447-14549","PF","Lavoy","Allen","14.2","39","3600","IND@DEN","IND","DEN","","","",""
"14447-18352","PG","Ray","McCallum","5.7","16","3600","DAL@SA","SA","DAL","","","",""
"14447-23744","SF","Justin","Anderson","4.8","22","3600","DAL@SA","DAL","SA","","","",""
"14447-40209","C","Joffrey","Lauvergne","17.1","21","3600","IND@DEN","DEN","IND","","","",""
"14447-58084","SF","Justise","Winslow","13.4","37","3500","MIA@OKC","MIA","OKC","","","",""
"14447-9496","PG","Jason","Terry","10.3","34","3500","HOU@LAL","HOU","LAL","","","",""
"14447-12391","PF","Jeremy","Evans","5.2","25","3500","DAL@SA","DAL","SA","","","",""
"14447-18702","C","Robert","Sacre","8.8","13","3500","HOU@LAL","LAL","HOU","","","",""
"14447-17332","C","Tarik","Black","10.3","11","3500","HOU@LAL","LAL","HOU","","","",""
"14447-20907","C","Shayne","Whittington","3.1","2","3500","IND@DEN","IND","DEN","","","",""
"14447-15532","SF","K.J.","McDaniels","3.5","12","3500","HOU@LAL","HOU","LAL","","","",""
"14447-9778","PF","Josh","McRoberts","10","20","3500","MIA@OKC","MIA","OKC","O","Knee","",""
"14447-9529","SG","Anthony","Morrow","8.6","39","3500","MIA@OKC","OKC","MIA","","","",""
"14447-9737","SG","Nick","Young","11.1","35","3500","HOU@LAL","LAL","HOU","","","",""
"14447-23098","SF","Kostas","Papanikolaou","5.9","26","3500","IND@DEN","DEN","IND","","","",""
"14447-9734","SF","Mike","Miller","5.1","30","3500","IND@DEN","DEN","IND","","","",""
"14447-9733","SG","Randy","Foye","11.8","40","3500","IND@DEN","DEN","IND","","","",""
"14447-9520","PF","Charlie","Villanueva","10.1","35","3500","DAL@SA","DAL","SA","","","",""
"14447-9758","SG","Danny","Green","15.6","41","3500","DAL@SA","SA","DAL","","","",""
"14447-9513","C","Chris","Andersen","4.9","7","3500","MIA@OKC","MIA","OKC","O","Knee","",""
"14447-63826","C","Boban","Marjanovic","10.2","23","3500","DAL@SA","SA","DAL","","","",""
"14447-14532","SF","Kyle","Singler","4.9","30","3500","MIA@OKC","OKC","MIA","","","",""
"14447-9559","SF","Rasual","Butler","5.9","25","3500","DAL@SA","SA","DAL","","","",""
"14447-16335","SG","John","Jenkins","5.3","17","3500","DAL@SA","DAL","SA","","","",""
"14447-15587","SF","Ryan","Kelly","12.1","13","3500","HOU@LAL","LAL","HOU","","","",""
"14447-9589","PF","Udonis","Haslem","5.3","18","3500","MIA@OKC","MIA","OKC","","","",""
"14447-16378","SG","Erick","Green","0.9","3","3500","IND@DEN","DEN","IND","","","",""
"14447-58253","PF","Myles","Turner","11.9","18","3500","IND@DEN","IND","DEN","","","",""
"14447-9568","SF","Metta","World Peace","11.1","19","3500","HOU@LAL","LAL","HOU","","","",""
"14447-15417","SG","Solomon","Hill","6.8","20","3500","IND@DEN","IND","DEN","","","",""
"14447-9895","SF","Steve","Novak","2.9","5","3500","MIA@OKC","OKC","MIA","","","",""
"14447-18828","SG","Joseph","Young","4.2","15","3500","IND@DEN","IND","DEN","","","",""
"14447-23799","PF","Mitch","McGary","2.1","11","3500","MIA@OKC","OKC","MIA","","","",""
"14447-18821","SG","Jonathon","Simmons","9.1","27","3500","DAL@SA","SA","DAL","","","",""
"14447-23800","SF","Glenn","Robinson III","7","25","3500","IND@DEN","IND","DEN","","","",""
"14447-23776","PF","Montrezl","Harrell","6.2","22","3500","HOU@LAL","HOU","LAL","","","",""
"14447-9606","SF","Corey","Brewer","12.9","41","3500","HOU@LAL","HOU","LAL","","","",""
"14447-9613","SG","Devin","Harris","14.5","35","3500","DAL@SA","DAL","SA","","","",""
"14447-9649","PF","Nick","Collison","7.1","36","3500","MIA@OKC","OKC","MIA","","","",""
"14447-16188","SF","Anthony","Brown","7.3","17","3500","HOU@LAL","LAL","HOU","","","",""
"14447-16925","PF","Jarnell","Stokes","1.2","2","3500","MIA@OKC","MIA","OKC","","","",""
"14447-9955","SG","Marcus","Thornton","16.3","34","3500","HOU@LAL","HOU","LAL","","","",""
"14447-16202","PF","Rakeem","Christmas","0","0","3500","IND@DEN","IND","DEN","","","",""
"14447-9680","PF","Amar'e","Stoudemire","8.2","12","3500","MIA@OKC","MIA","OKC","","","",""
"14447-9964","PG","Ty","Lawson","15","34","3500","HOU@LAL","HOU","LAL","","","",""
"14447-16196","PF","Dwight","Powell","16.1","39","3500","DAL@SA","DAL","SA","","","",""
"14447-23716","SF","Kyle","Anderson","8.5","38","3500","DAL@SA","SA","DAL","","","",""
"14447-16233","SG","Josh","Richardson","3.6","17","3500","MIA@OKC","MIA","OKC","","","",""
"14447-23282","SF","Sam","Dekker","1.1","3","3500","HOU@LAL","HOU","LAL","O","Back","",""
"14447-9939","PG","Patrick","Mills","14.6","41","3500","DAL@SA","SA","DAL","","","",""
"14447-66521","PG","Marcelo","Huertas","8.7","23","3500","HOU@LAL","LAL","HOU","","","",""
"14447-9942","SF","Chase","Budinger","10.1","36","3500","IND@DEN","IND","DEN","","","",""
"14447-9709","C","Matt","Bonner","3.8","17","3500","DAL@SA","SA","DAL","","","",""
"14447-9466","PG","D.J.","Augustin","8.5","32","3500","MIA@OKC","OKC","MIA","","","",""
